condition,variant,metric,source_column,mean,std,n,sample_scope
static_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3141523142272496,0.007846233734901956,3,successful trials only
static_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3141523142272496,0.007846233734901956,3,successful trials only
static_wall,full_swarm_prior_mppi,control_effort,control_effort,186.5671049591653,24.7661429018659,4,successful trials only
static_wall,full_swarm_prior_mppi,steps,steps,103.75,7.632168761236874,4,successful trials only
static_wall,full_swarm_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.01009626126627925,0.004129356670852611,4,all trials with valid values
static_wall,full_swarm_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.29912772791165776,0.04491090002621575,4,successful trials only
static_wall,full_swarm_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.29912772791165776,0.04491090002621575,4,successful trials only
static_wall,gaussian_prior_mppi,control_effort,control_effort,186.5671049591653,24.7661429018659,4,successful trials only
static_wall,gaussian_prior_mppi,steps,steps,103.75,7.632168761236874,4,successful trials only
static_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0100003415852816,0.004054755924549442,4,all trials with valid values
static_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.29912772791165776,0.04491090002621575,4,successful trials only
static_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.29912772791165776,0.04491090002621575,4,successful trials only
static_wall,heatmap_prior_mppi,control_effort,control_effort,193.26669190987772,26.76804117949503,4,successful trials only
static_wall,heatmap_prior_mppi,steps,steps,99.0,13.784048752090222,4,successful trials only
static_wall,heatmap_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.010194913753454299,0.004087655458706854,4,all trials with valid values
static_wall,heatmap_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3127321394324882,0.04341358682155731,4,successful trials only
static_wall,heatmap_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3127321394324882,0.04341358682155731,4,successful trials only
static_wall,mode_selecting_corridor_mppi,control_effort,control_effort,201.11253077810574,5.111377542070918,4,successful trials only
static_wall,mode_selecting_corridor_mppi,steps,steps,70.5,8.225975119502044,4,successful trials only
static_wall,mode_selecting_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0153240775783263,0.005511330582513322,4,all trials with valid values
static_wall,mode_selecting_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3794445951499743,0.03064289828766936,4,successful trials only
static_wall,mode_selecting_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3794445951499743,0.03064289828766936,4,successful trials only
static_wall,mode_selecting_homotopy_mppi,control_effort,control_effort,201.11253077810574,5.111377542070918,4,successful trials only
static_wall,mode_selecting_homotopy_mppi,steps,steps,70.5,8.225975119502044,4,successful trials only
static_wall,mode_selecting_homotopy_mppi,runtime_per_step_sec,runtime_per_step_sec,0.015308590689585126,0.005436786937946502,4,all trials with valid values
static_wall,mode_selecting_homotopy_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3794445951499743,0.03064289828766936,4,successful trials only
static_wall,mode_selecting_homotopy_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3794445951499743,0.03064289828766936,4,successful trials only
static_wall,standard_mppi,control_effort,control_effort,,,0,successful trials only
static_wall,standard_mppi,steps,steps,,,0,successful trials only
static_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.00281993768461895,0.0009644867220973683,4,all trials with valid values
static_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,,,0,successful trials only
static_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
