condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,selected_mode_switches,last_selected_mode,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
static_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,25,0,0.2655296494511356,0.20321092802955837,0.20321092802955837,12.812652639151718,12.812652639151718,166.9626123917726,166.9626123917726,27.925103849995253,27.925103849995253,85,85,0.8630325660014933,0.01015332430589992,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0,,0.26437564765719895,0.18441283246323287,0.18441283246323287,12.411970231770102,12.411970231770102,217.6763976253248,217.6763976253248,20.020462646832538,20.020462646832538,57,57,0.4167343159988377,0.007311128350856802,0.3,
static_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,25,7,0.2943739815696121,0.16867038656242667,0.16867038656242667,13.073298328126013,13.073298328126013,205.1080257836034,205.1080257836034,25.577811644489373,25.577811644489373,72,72,1.0144548389998818,0.014089650541665024,0.3,
static_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,25,7,0.2943739815696121,0.16867038656242667,0.16867038656242667,13.073298328126013,13.073298328126013,205.1080257836034,205.1080257836034,25.577811644489373,25.577811644489373,72,72,1.0173606910011586,0.014130009597238313,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,not_reaching,False,False,True,,False,True,False,0,,6.7757298373453025,0.010421477899805326,0.010421477899805326,5.004396227889615,5.004396227889615,110.21488958984212,110.21488958984212,44.005772166090665,44.005772166090665,130,130,0.3423904160008533,0.0026337724307757947,0.3,
dynamic_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,13,0.2552888087001936,progress_and_clearance,0.5889134449122075,13,True,,True,False,False,,False,True,False,43,7,0.289399004097407,0.01976453322853053,0.01976453322853053,14.916642763871122,12.008987011116867,197.4429487751577,151.93215349436585,33.64767001442074,32.83970211774456,107,94,0.8864635139998427,0.008284705738316286,0.3,
dynamic_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,13,0.2552888087001936,progress_and_clearance,0.5889134449122075,13,True,,True,False,False,,False,True,False,43,7,0.289399004097407,0.01976453322853053,0.01976453322853053,14.916642763871122,12.008987011116867,197.4429487751577,151.93215349436585,33.64767001442074,32.83970211774456,107,94,0.8857790519996342,0.008278308897192844,0.3,
dynamic_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,13,0.25823043618536257,progress_and_clearance,0.5643537017180198,13,False,not_reaching,False,False,True,,False,True,False,2,1,7.742794612775546,0.05138569415342181,0.05138569415342181,3.610814303673542,0.6682098226249699,58.884921451140634,11.967985534963997,13.009955908919878,11.55742055805042,130,117,1.189866234000874,0.009152817184622108,0.3,
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,13,0.2604908986873564,progress_and_clearance,0.5518375792503405,13,True,,True,False,False,,False,True,False,43,3,0.29730520932586607,0.016248711684065886,0.016248711684065886,14.891686028745927,11.921518698263458,194.37466631245485,146.04506103527578,34.07956149128746,31.46955863153413,102,89,1.0959471779988235,0.010744580176459054,0.3,
dynamic_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,13,0.25823043618536257,progress_and_clearance,0.5643537017180198,13,False,not_reaching,False,False,True,,False,True,False,2,1,7.742794612775546,0.05138569415342181,0.05138569415342181,3.610814303673542,0.6682098226249699,58.884921451140634,11.967985534963997,13.009955908919878,11.55742055805042,130,117,1.1896145020000404,0.009150880784615695,0.3,
