condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2907767856890972,0.039140342744356627,0.039140342744356627,13.024967812396602,13.024967812396602,126.54557337096438,126.54557337096438,54.53425885105027,54.53425885105027,59,59,0.44102883100276813,0.007475064932250307,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.27446666988699403,0.1433527402934489,0.1433527402934489,12.817017133058826,12.817017133058826,162.88239038291363,162.88239038291363,73.23190711336825,73.23190711336825,61,61,0.4304163829947356,0.007056006278602223,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,collision,True,True,False,19,True,True,False,0.2703046838231396,-0.050156805057865184,-0.050156805057865184,18.888473262721607,18.888473262721607,210.72691874190187,210.72691874190187,118.69458213401913,118.69458213401913,132,132,0.42675210000015795,0.003232970454546651,0.3,
dynamic_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,18,0.25544215783379043,progress,3.5556300216456025,18,True,,True,False,False,,False,True,False,0.247576987392715,0.08430148828771478,0.08430148828771478,13.085330234313194,10.136399665824127,102.80071092297308,63.27163090498517,27.032715212980214,16.409208699023907,56,38,0.40414928397512995,0.0072169514995558915,0.3,
dynamic_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,20,0.25476518327105435,progress,3.4908202408567326,20,True,,True,False,False,,False,True,False,0.2743679453066511,0.18605214082468557,0.18605214082468557,13.099956574096193,10.131570216791395,102.65020954779536,61.06534121707508,48.10040198516599,19.863805547734476,56,36,0.25255926701356657,0.004509986910956546,0.3,
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,18,0.2553429659888803,progress,3.5709550950933497,18,True,,True,False,False,,False,True,False,0.20258872677637896,0.07881712538619368,0.07881712538619368,14.454582016129299,11.512791525162152,85.54614277698286,46.42724647889816,30.011232387055273,19.13715770952718,60,42,0.3942962389846798,0.006571603983077997,0.3,
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,17,0.25790318260515255,progress,3.3775090317117162,17,True,,True,False,False,,False,True,False,0.28005107495386516,0.25380426365268216,0.25380426365268216,14.617314559579768,11.631997885264715,88.50402332878586,44.19067848748774,54.21251131519279,20.13236468886144,60,43,0.37885536599787883,0.0063142560999646475,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,0.25,0.75,14,0.25716719233896196,progress,3.5451965635498577,14,False,collision,False,True,False,26,True,True,False,6.755257598820465,-0.07224299234640072,-0.07224299234640072,6.576544142924911,3.64215806988866,684.7582181399644,631.2177727587709,559.092116528581,553.2281173170052,150,136,0.45777407501009293,0.003051827166733953,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2845258591688553,0.018751249802278686,0.018751249802278686,14.882042852980508,14.882042852980508,138.55926888869564,138.55926888869564,50.7171790819848,50.7171790819848,74,74,0.5959052329999395,0.0080527734189181,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2870656511233227,0.11067286569846208,0.11067286569846208,13.326216773327777,13.326216773327777,119.08508551824501,119.08508551824501,63.01722880682491,63.01722880682491,59,59,0.3115704979863949,0.00528085589807449,0.3,
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,collision,True,True,False,26,True,True,False,0.25676889537897624,-0.042466291175458776,-0.042466291175458776,14.864437954057268,14.864437954057268,164.30538525606352,164.30538525606352,97.96181621207154,97.96181621207154,74,74,0.5707699929771479,0.007713108013204702,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2902536223189596,0.28612431617013157,0.28612431617013157,17.932687683891274,17.932687683891274,66.47002314922906,66.47002314922906,32.304538775167636,32.304538775167636,64,64,0.44078884201007895,0.006887325656407484,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_1_2,1-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,False,not_reaching,False,False,True,,False,True,False,0.4823839516841988,0.053931806104855484,0.053931806104855484,18.96804914716577,18.96804914716577,234.9821317167236,234.9821317167236,103.46182304947135,103.46182304947135,150,150,0.5066742890048772,0.003377828593365848,0.3,
