condition,scenario_id,variant,trials,successes,success_rate,collision_rate,not_reaching_rate,exposed_rate,mean_activation_step,mean_activation_progress,mean_min_clearance_after_block,mean_final_dist
static_wall,wall_0_2,frenet_corridor_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.1701370421655505,0.2727223657222931
static_wall,wall_0_2,full_swarm_prior_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.18242920575233879,0.27071919657043575
static_wall,wall_0_2,gaussian_prior_mppi,100,98,0.98,0.0,0.02,1.0,0.0,0.0,0.16150579002179147,0.39543069919162993
static_wall,wall_0_2,mode_selecting_corridor_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.10760619328358034,0.27375285189415666
static_wall,wall_0_2,mode_selecting_gaussian_mppi,100,99,0.99,0.0,0.01,1.0,0.0,0.0,0.15963558070214112,0.3412790856272459
static_wall,wall_0_2,standard_mppi,100,0,0.0,0.0,1.0,1.0,0.0,0.0,0.09729790956423344,8.35627425871121
static_wall,wall_0_2,standard_mppi_128_rollouts,100,1,0.01,0.0,0.99,1.0,0.0,0.0,0.0820561503326252,8.455501215855527
static_wall,wall_1_2,control_bank_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.15607509434652353,0.27031801587140175
static_wall,wall_1_2,corridor_prior_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.11734368848970489,0.27188251769813904
static_wall,wall_1_2,frenet_corridor_mppi,100,99,0.99,0.0,0.01,1.0,0.0,0.0,0.1632853295257714,0.29643015871599177
static_wall,wall_1_2,full_swarm_prior_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.16822030161674723,0.2710139156231435
static_wall,wall_1_2,gaussian_prior_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.15072644235831575,0.27344355396504183
static_wall,wall_1_2,mode_selecting_corridor_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.11263268169107189,0.27097836170234674
static_wall,wall_1_2,mode_selecting_gaussian_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.15006967244614566,0.26961439682808624
static_wall,wall_1_2,standard_mppi,100,28,0.28,0.0,0.72,1.0,0.0,0.0,0.12936256050073866,6.055404565427755
static_wall,wall_1_2,standard_mppi_128_rollouts,100,44,0.44,0.0,0.56,1.0,0.0,0.0,0.10652571519558787,4.86847762486327
static_wall,walls_0_1__1_2,control_bank_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.15871562537765121,0.522418424088929
static_wall,walls_0_1__1_2,corridor_prior_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.11833439362321255,0.5235962026675501
static_wall,walls_0_1__1_2,frenet_corridor_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.1687102050528792,0.5237634896920152
static_wall,walls_0_1__1_2,full_swarm_prior_mppi,100,98,0.98,0.0,0.02,1.0,0.0,0.0,0.17287297552798317,0.44120199176501573
static_wall,walls_0_1__1_2,gaussian_prior_mppi,100,98,0.98,0.0,0.02,1.0,0.0,0.0,0.15365119926273035,0.4448032130400403
static_wall,walls_0_1__1_2,mode_selecting_corridor_mppi,100,98,0.98,0.0,0.02,1.0,0.0,0.0,0.11744294214995168,0.4445028245893139
static_wall,walls_0_1__1_2,mode_selecting_gaussian_mppi,100,98,0.98,0.0,0.02,1.0,0.0,0.0,0.1642934283458207,0.44897179661558445
static_wall,walls_0_1__1_2,standard_mppi,100,0,0.0,0.0,1.0,1.0,0.0,0.0,0.08578225415342752,7.256126404233656
static_wall,walls_0_1__1_2,standard_mppi_128_rollouts,100,1,0.01,0.0,0.99,1.0,0.0,0.0,0.08197286301115474,8.44249849169228
